"","plot_keywords","genre","usa_gross_income","budget","language","country","avg_vote","reviews_from_critics","date_published","year","title_and_year"
"859","african american","Comedy, Romance","$ 9177065","$ 15000000","English","USA",5.3,41,"2013-05-10","2013","Peeples (2013)"
"860","corporate greed|corporation|natural gas|salesman|small town","Drama","$ 7597898","$ 15000000","English","USA, United Arab Emirates",6.6,246,"2013-02-14","2013","Promised Land (2013)"
"861","actor|detective sergeant|hotel|nightclub|thief","Action, Comedy, Crime","$ 4243756","$ 15000000","English","USA",7.5,235,"2005-12-02","2005","Kiss Kiss Bang Bang (2005)"
"862","amnesia|car accident|female protagonist|lesbian sex|loss of memory","Drama, Mystery, Thriller","$ 7220243","$ 15000000","English, Spanish, French","France, USA",8,318,"2002-02-15","2002","Mulholland Drive (2002)"
"863","35 mm digital camera|drugs|murder|train|travel","Crime, Drama, Mystery","$ 2206405","$ 15000000","English, Russian, Spanish, Mandarin, French","UK, Germany, Spain, Lithuania",6.7,131,"2008-10-24","2008","Transsiberian (2008)"
"864","breaking the fourth wall|looking at the camera|remake|serial killer|violence","Crime, Drama, Thriller","$ 1294919","$ 15000000","English","USA, France, UK, Austria, Germany, Italy",6.6,263,"2008-07-11","2008","Funny Games (2008)"
"865","art deco|bible quote|dance|silent film|worker","Animation, Adventure, Drama","$ 722932","$ 15000000","Japanese, French, German, Italian, Spanish, English, Russian","Japan",7.2,92,"2002-06-21","2002","Metropolis (2002)"
"866","black magic|china|love|refusal to kill|wuxia","Action, Drama, History","$ 632542","$ 15000000","Mandarin","Taiwan, China, Hong Kong, France",6.3,237,"2016-09-29","2016","The Assassin (2016)"
"867","berlin wall|germany|murder|soldier|specialist","Comedy, Crime, Drama","$ 354421","$ 15000000","English, Turkish","UK, Germany",6.8,101,"2005-07-15","2005","Buffalo Soldiers (2005)"
"868","boy|photograph|return|russian|wilderness","Comedy, Drama, Romance","$ 102171","$ 300000","English","USA",4.9,NA,"2006-01-21","2006","The Return (2006)"
"869","mushroom|mute|roman soldier|screaming|wood carving","Action, Drama, History","$ 123570","$ 12000000","English, Scottish Gaelic","UK, France, USA",6.4,215,"2010-04-23","2010","Centurion (2010)"
"870","housing project|letter|man with glasses|murder|subjective camera","Action, Crime, Drama","$ 30680","$ 15000000","English","USA",5.1,60,"2011-07-09","2011","The Son of No One (2011)"
"871","apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title","Action, Comedy, Drama","$ 23662","$ 15000000","English, German, Italian","Germany, Austria, USA",4.8,20,"2001-12-13","2001","All the Queen's Men (2001)"
"872","commercial|dream|dreaming|girl|new york city","Comedy, Drama, Fantasy","$ 22441","$ 15000000","English, Italian","UK, Germany, USA",5.8,49,"2008-01-18","2008","The Good Night (2008)"
"873","betrayal|french revolution|friendship|poet|revolution","Biography, Drama","$ 5151","$ 15000000","English","UK",6.5,21,"2001-04-18","2001","Pandaemonium (2001)"
"874","male bonding|male friendship|male objectification|muscular|stripper","Comedy, Drama, Music","$ 66013057","$ 14800000","English","USA",5.6,238,"2015-09-24","2015","Magic Mike XXL (2015)"
"875","cotton|female frontal nudity|flogging|gangster|slavery","Drama","$ 78378","$ 14200000","English","Denmark, Sweden, Netherlands, France, Germany, UK, Italy, USA",7.3,139,"2005-10-28","2005","Manderlay (2005)"
"876","businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman","Comedy, Romance","$ 178406268","$ 14000000","English","USA",7,82,"1990-08-14","1990","Pretty Woman (1990)"
"877","campus|death|friend|professor|urban legend","Horror, Mystery, Thriller","$ 38072438","$ 14000000","English","USA, Canada",5.6,126,"1999-01-29","1999","Urban Legend (1999)"
"878","british prime minister|female prime minister|politics|prime minister|told in flashback","Biography, Drama","$ 30017992","$ 13000000","English","UK, France",6.4,342,"2012-01-27","2012","The Iron Lady (2012)"
"879","african american|mail carrier|poetry|postal worker|south central los angeles","Drama, Romance","$ 27515786","$ 14000000","English","USA",6.1,16,"1993-07-23","1993","Poetic Justice (1993)"
"880","black comedy|bounty hunter|diamond|machismo|money","Action, Comedy, Crime","$ 25916319","$ 15000000","English, French","USA, Germany",5.9,41,"2002-03-08","2002","All About the Benjamins (2002)"
"881","flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818","Drama, History, Horror","$ 16298046","$ 14000000","English","UK, Canada, Romania, USA",5.1,130,"2006-04-14","2006","An American Haunting (2006)"
"882","college|college roommate|party|roommate|student","Comedy","$ 15064946","$ 14000000","English","USA",6.1,27,"1998-08-21","1998","Dead Man on Campus (1998)"
"883","argument|birthday|bully|coming of age|semi autobiographical","Comedy, Drama","$ 13642861","$ 14000000","English, Italian, Spanish","USA",7,35,"1994-05-13","1994","Crooklyn (1994)"
"884","jason voorhees|lake|machete|scientist|slasher","Action, Horror, Sci-Fi","$ 13121555","$ 11000000","English","Canada, USA",4.4,222,"2004-06-25","2004","Jason X (2004)"
"885","campaign|chess|friend|hotel|senator","Biography, Drama, History","$ 11242801","$ 14000000","English, Spanish","USA",7,194,"2007-01-19","2007","Bobby (2007)"
"886","adult humor|best friend|friend|halloween|teenage girl","Adventure, Comedy","$ 9409538","$ 14000000","English","USA",5.4,77,"2012-10-26","2012","Fun Size (2012)"
"887","adulterous wife|bar|dysfunctional marriage|sex offender|suburb","Comedy, Drama, Romance","$ 5463019","$ 26000000","English","USA",7.5,247,"2007-02-09","2007","Little Children (2007)"
"888","college|college campus|gossip|rape|sex","Drama, Mystery, Thriller","$ 5108820","$ 24000000","English, Italian","USA",5.9,67,"2000-08-18","2000","Gossip (2000)"
"889","attack|coach|colonel|jail|oil refinery","Biography, Drama, History","$ 4299773","$ 14000000","English, Afrikaans, Zulu, Portuguese","France, UK, South Africa, USA",6.7,110,"2006-10-27","2006","Catch a Fire (2006)"
"890","18th century|ambassador|french revolution|friendship|thomas jefferson","Biography, Drama, History","$ 2473668","$ 14000000","English, French","USA, France",5.7,20,"1995-05-19","1995","Jefferson in Paris (1995)"
"891","jesuit|jew|pope|priest|ss","Biography, Crime, Drama","$ 274299","FRF 103000000","English, French, Italian, German","France, Germany, Romania",7.2,72,"2002-04-19","2002","Amen. (2002)"
"892","accident|bus|loss of virginity|new york city|virginity","Drama","$ 46495","$ 14000000","English","USA",6.4,126,"2012-06-01","2012","Margaret (2012)"
"893","alien|desire|female nudity|male frontal nudity|scotland","Drama, Horror, Sci-Fi","$ 2614251","$ 13300000","English","UK, USA, Switzerland",6.3,506,"2014-08-28","2014","Under the Skin (2014)"
"894","mafia|mafia boss|mafiosi|mafioso|three word title","Comedy, Crime, Romance","$ 164247","$ 13400000","English","South Korea, USA",3.6,5,"2010-12-29","2010","The Last Godfather (2010)"
"895","dance|dancing|ghetto|hip hop|imperative in title","Drama, Music, Romance","$ 91057006","$ 13000000","English","USA",6.2,91,"2001-09-07","2001","Save the Last Dance (2001)"
"896","bullying|grumpy old man|school presentation|stroke|stroke recovery","Comedy, Drama","$ 44137712","$ 13000000","English, Spanish","USA",7.2,271,"2014-12-18","2014","St. Vincent (2014)"
"897","bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting","Comedy, Romance","$ 48637684","$ 12500000","English","USA",6.1,90,"2014-02-14","2014","About Last Night (2014)"
"898","blackout|child pornography|memory|surprise ending|time travel","Drama, Sci-Fi, Thriller","$ 57938693","$ 13000000","English","USA, Canada",7.6,179,"2004-02-27","2004","The Butterfly Effect (2004)"
"899","meteorologist|snow|snowed in|snowplow|weather","Adventure, Comedy, Family","$ 60020107","$ 13000000","English","USA",5.1,35,"2000-12-01","2000","Snow Day (2000)"
"900","christmas|family home|musician|piano|secret","Comedy, Drama, Romance","$ 49121934","$ 13000000","English","USA",6.3,36,"2007-12-07","2007","This Christmas (2007)"
"901","desperation|fog|giant insect|survival|survival horror","Horror, Sci-Fi, Thriller","$ 25594957","$ 18000000","English","USA",7.1,362,"2008-10-10","2008","The Mist (2008)"
"902","artificial intelligence|robot|robot human relationship|turing test|video surveillance","Drama, Sci-Fi, Thriller","$ 25442958","$ 15000000","English","UK",7.7,428,"2015-07-30","2015","Ex Machina (2015)"
"903","alien|bar|construction worker|no opening credits|no title at beginning","Adventure, Family, Sci-Fi","$ 38934842","$ 13000000","English","USA",5.8,115,"2014-07-02","2014","Earth to Echo (2014)"
"904","congressman|high school|latino|pacific palisades|school","Drama, Romance","$ 16937988","$ 13000000","English","USA",6.5,85,"2001-09-14","2001","Crazy/Beautiful (2001)"
"905","bank|fbi|fuel|rocket|space travel","Adventure, Drama, Sci-Fi","$ 11003643","$ 13000000","English, Spanish","USA",6.3,110,"2007-02-23","2007","The Astronaut Farmer (2007)"
"906","based on novel|escape|imprisonment|kidnapping|mother son relationship","Drama, Mystery","$ 5228","","English","USA",4.4,14,"2005-01-01","2005","Room (2005)"
"907","based on novel|escape|imprisonment|kidnapping|mother son relationship","Drama, Thriller","$ 14677654","$ 13000000","English","Canada, Ireland, UK, USA",8.1,479,"2016-03-03","2016","Room (2016)"
"908","cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding","Adventure, Comedy, Romance","$ 5007898","$ 13000000","English","USA",5.6,47,"2001-08-24","2001","Bubble Boy (2001)"
"909","bank|bank clerk|birthday|mail order bride|russian","Comedy, Crime, Thriller","$ 5142576","$ 13000000","English, Russian","UK, USA",6.1,110,"2002-01-25","2002","Birthday Girl (2002)"
"910","baby|divorce|oscar wilde|pigalle|tourist","Comedy, Drama, Romance","$ 4899278","$ 13000000","French, English, Spanish, Mandarin, Arabic","France, Liechtenstein, Switzerland, Germany, USA",7.2,164,"2006-06-21","2006","Paris, je t'aime (2006)"
"911","blood|book|cold calculation|murder|writer","Crime, Drama, Romance","$ 429148","","English","USA",3.9,18,"2020-06-12","2020","Infamous (2020)"
"912","evil|injury|possession|priest|vatican","Horror, Thriller","$ 1784763","$ 8000000","English, Aramaic","USA",4.8,106,"2016-01-07","2016","The Vatican Tapes (2016)"
"913","911 operator|calling 911|die hard scenario|head held underwater|white villain","Crime, Drama, Horror","$ 51872378","$ 13000000","English","USA",6.7,291,"2013-09-17","2013","The Call (2013)"
"914","black american|extortion|navy|psychiatrist|sailor","Biography, Drama","$ 21078145","$ 12500000","English, Japanese","USA",7.3,118,"2003-05-23","2003","Antwone Fisher (2003)"
"915","deputy|murder|revenge|sheriff|texas","Crime, Drama, Thriller","$ 217277","$ 13000000","English","UK, Sweden, Canada, USA",6.1,227,"2010-11-26","2010","The Killer Inside Me (2010)"
"916","ends with quotation|execution|factory|women's prison|year 1964","Crime, Drama, Musical","$ 4184036","$ 12800000","English, German, Czech","Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium",8,133,"2000-10-18","2000","Dancer in the Dark (2000)"
"917","australia|church|glass|inheritance|wager","Drama, Romance","$ 1897404","AUD 16000000","English, French","USA, Australia, UK",6.6,29,"1997-12-31","1997","Oscar and Lucinda (1997)"
"918","aging|hdtv|high definition television|love|marriage","Comedy, Drama, Romance","$ 4360548","$ 15000000","English, Spanish","USA",6.3,117,"2010-06-25","2010","Solitary Man (2010)"
"919","machete|mexican|mexico|priest|texas","Action, Crime, Thriller","$ 26593646","$ 10500000","English, Spanish, Hungarian","USA",6.6,412,"2011-05-06","2011","Machete (2011)"
"920","advice|black romance|hip hop|reading a book|sex scene","Comedy, Romance","$ 91547205","$ 12000000","English","USA",6.6,77,"2012-04-20","2012","Think Like a Man (2012)"
"921","mission|navy seal|terrorist|torture|valor","Action, Adventure, Thriller","$ 70012847","$ 12000000","English, Russian, Spanish","USA",6.5,218,"2012-04-04","2012","Act of Valor (2012)"
"922","dance|dancer|school|showcase|student","Crime, Drama, Music","$ 65328121","$ 12000000","English","USA",6.5,101,"2007-01-26","2007","Step Up (2007)"
"923","arms dealer|atf|bail|money|multiple perspectives","Crime, Drama, Thriller","$ 39673162","$ 12000000","English","USA",7.5,174,"1998-03-27","1998","Jackie Brown (1998)"
"924","found footage|high school|subjective camera|teen angst|troubled teen","Drama, Sci-Fi, Thriller","$ 64575175","$ 12000000","English","USA",7,427,"2012-05-09","2012","Chronicle (2012)"
"925","insanity|photo lab|photo shop|photography|voyeur","Drama, Thriller","$ 31597131","$ 12000000","English","USA",6.8,214,"2002-10-18","2002","One Hour Photo (2002)"
"926","cellular memory|eye|eye transplant|seeing dead people|violinist","Horror, Mystery","$ 512049","SGD 4500000","Cantonese, Thai, Mandarin, English, Hakka","Hong Kong, Singapore",6.7,86,"2003-05-16","2003","The Eye (2003)"
"927","cellular memory|eye|eye transplant|seeing dead people|violinist","Drama, Horror, Mystery","$ 31418697","$ 12000000","English, Spanish","USA, Canada",5.4,172,"2008-04-04","2008","The Eye (2008)"
"928","art|bisexual|marriage|pain|revolutionary","Biography, Drama, Romance","$ 25885000","$ 12000000","English, French, Russian","Mexico, USA, Canada",7.4,130,"2003-01-17","2003","Frida (2003)"
"929","bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk","Comedy, Romance","$ 25317471","$ 12000000","English","USA",6.4,164,"2014-12-12","2014","Top Five (2014)"
"930","catholic|convent|gay love|gay relationship|irish adoption board","Biography, Comedy, Drama","$ 37709979","$ 12000000","English","UK, USA, France",7.6,355,"2013-12-19","2013","Philomena (2013)"
"931","beach|love|mermaid|storm|swimming","Comedy, Family, Fantasy","$ 18597342","$ 12000000","English","USA",5.3,68,"2006-06-23","2006","Aquamarine (2006)"
"932","aging|billings montana|lincoln nebraska|nebraska|pickup truck","Adventure, Comedy, Drama","$ 17654912","$ 12000000","English, Spanish","USA",7.7,447,"2014-01-16","2014","Nebraska (2014)"
"933","car damage|computer printer|female band|fingernail polish|narcissism","Comedy, Drama","$ 16311571","$ 12000000","English","USA",6.2,343,"2012-03-09","2012","Young Adult (2012)"
"934","assassin|cult film|doctor|heart|poison","Action, Crime, Thriller","$ 27838408","$ 12000000","English, Spanish, Korean","USA",6.9,175,"2007-07-27","2007","Crank (2007)"
"935","breaking the fourth wall|doorman|friend|party|sex","Comedy","$ 14009368","","English","USA",5.4,11,"1997-08-06","1997","How to Be a Player (1997)"
"936","college|cruise|drag|female armpit hair|sorority","Comedy","$ 10200032","$ 12000000","English, Indonesian","USA",5.5,53,"2002-03-22","2002","Sorority Boys (2002)"
"937","1950s|jazz|jazz music|sex|title directed by female","Biography, Drama, Music","$ 8195551","$ 12000000","English","USA",7,84,"2009-05-29","2009","Cadillac Records (2009)"
"938","actor|internet|make up|publicist|purim","Comedy","$ 5549923","$ 12000000","English, French","USA",6.3,120,"2006-11-22","2006","For Your Consideration (2006)"
"939","celebrity|journalist|lesbian kiss|strong female character|tv producer","Comedy, Drama","$ 5078660","$ 12000000","English","USA",6.3,76,"1998-12-19","1998","Celebrity (1998)"
"940","bar|florida|love|spring break|waitress","Comedy, Musical, Romance","$ 4928883","$ 12000000","English","USA",2.1,62,"2003-06-20","2003","From Justin to Kelly (2003)"
"941","blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo","Mystery, Thriller","$ 4750602","$ 12000000","English","UK, Australia, France, USA",5.3,122,"2003-12-19","2003","In the Cut (2003)"
"942","jewish|love|married man|neighbor|photograph","Drama, Romance","$ 3149034","$ 9800000","English","USA, France",7,193,"2009-03-27","2009","Two Lovers (2009)"
"943","daughter|han river|monster|river|seoul","Action, Drama, Horror","$ 2201923","KRW 12215500000","Korean, English","South Korea",7.1,399,"2006-07-27","2006","The Host (2006)"
"944","daughter|han river|monster|river|seoul","Action, Adventure, Drama","$ 26627201","$ 40000000","English","USA, Switzerland, UK",5.9,284,"2013-03-28","2013","The Host (2013)"
"945","drugs|high school|prescription drugs|private school|student","Comedy, Drama, Romance","$ 3951699","$ 12000000","English","USA, Canada",7,125,"2008-05-30","2008","Charlie Bartlett (2008)"
"946","book|boy|catholic|comic book|friend","Comedy, Drama","$ 1815864","$ 12000000","English","USA",7,80,"2002-10-04","2002","The Dangerous Lives of Altar Boys (2002)"
"947","death|hitchcockian|psychopath|sociopath|vomiting","Drama, Mystery, Thriller","$ 1714221","$ 12000000","English, French, Italian","UK, USA",6.8,457,"2013-06-20","2013","Stoker (2013)"
"948","number in title|train|woman slaps a man|woman slaps man|written by director","Drama, Romance, Sci-Fi","$ 1444588","$ 12000000","Cantonese, Japanese, Mandarin","Hong Kong, China, France, Italy, Germany",7.4,196,"2004-10-29","2004","2046 (2004)"
"949","africa|bed|boy|cheetah|south africa","Adventure, Drama, Family","$ 870067","$ 12000000","English","USA",7.2,37,"2005-07-22","2005","Duma (2005)"
"950","celtic mythology|cottage|fisherman|irish|selkie","Drama, Mystery, Romance","$ 550472","$ 12000000","English, Romanian, French","Ireland, USA",6.8,121,"2010-03-05","2010","Ondine (2010)"
"951","gang|gangster|subjective camera|written and directed by cast member|yakuza","Crime, Drama, Thriller","$ 450594","$ 10000000","English, Japanese, Italian, Spanish","USA, UK, Japan",7.2,79,"2000-11-24","2000","Brother (2000)"
"952","boxing knockout|heist|implied sex|keys|prison","Comedy, Crime","$ 336620","$ 12000000","English","USA, Germany",6.4,69,"2003-06-06","2003","Welcome to Collinwood (2003)"
"953","dog|marriage|search|wedding|woods","Comedy, Drama, Romance","$ 793815","","English","USA",5.1,60,"2012-05-24","2012","Darling Companion (2012)"
"954","friend|girl|mexico city|new jersey|sex","Crime, Drama, Thriller","$ 214307","$ 12000000","English, Spanish, Polish, Russian","Germany, USA, Mexico",7.4,52,"2007-10-18","2007","Trade (2007)"
"955","cameraman|epic battle|journalist|south ossetia|street shootout","Action, Drama, War","$ 17479","$ 12000000","English","Georgia, USA",5.6,76,"2011-06-06","2011","5 Days of War (2011)"
"956","","Drama","$ 14616","$ 120000","English","USA",6.3,2,"2015-11-11","2015","10 Days in a Madhouse (2015)"
"957","cat|cemetery|maine|secret|woods","Horror, Mystery, Thriller","$ 54724696","$ 21000000","English","USA, Canada",5.7,326,"2019-05-09","2019","Pet Sematary (2019)"
"958","bible|key|poverty|slum|wallet","Adventure, Crime, Drama","$ 17484","","Portuguese, English","UK, Brazil, Germany",7.2,107,"2014-11-27","2014","Trash (2014)"
"959","basketball|curtain call|graduation|high school|high school senior","Comedy, Drama, Family","$ 90559416","$ 11000000","English","USA",4.8,131,"2008-10-31","2008","High School Musical 3: Senior Year (2008)"
"960","boxer|boxing|boxing match|crack cocaine|lowell massachusetts","Biography, Drama, Sport","$ 93617009","$ 25000000","English","USA",7.8,416,"2011-03-04","2011","The Fighter (2011)"
"961","deception|flash photography|game of death|jigsaw|pig mask","Horror, Mystery","$ 27693292","$ 11000000","English","Canada, USA, Australia",6,168,"2010-06-04","2010","Saw VI (2010)"
"962","1950s|immigrant|irish|irish accent|torn between two worlds","Drama, Romance","$ 38322743","$ 11000000","English, Latin, Irish","UK, Canada, Ireland, USA",7.5,299,"2016-03-17","2016","Brooklyn (2016)"
"963","alaska|mountain|ski resort|snowboard|snowboarding","Comedy, Sport","$ 13906394","$ 24000000","English","USA",6.4,36,"2002-06-07","2002","Out Cold (2002)"
"964","black pantyhose|female stockinged legs|pantyhose|radio|tattoo","Comedy","$ 13616610","$ 24000000","English","USA",5.2,56,"2000-10-13","2000","The Ladies Man (2000)"
"965","divorced couple|opera|reference to giuseppe verdi|retirement|senility","Comedy, Drama","$ 18390117","$ 11000000","English, Italian, Polish, French","UK",6.8,182,"2013-01-24","2013","Quartet (2013)"
"966","art|jewish|justice|nazi|theft","Biography, Drama, History","$ 33307793","$ 11000000","English, German, Hebrew","UK",7.3,213,"2015-10-15","2015","Woman in Gold (2015)"
"967","professor|research|sex|sexuality|student","Biography, Drama, Romance","$ 10254979","$ 11000000","English","USA, Germany",7,192,"2005-03-18","2005","Kinsey (2005)"
"968","blackmail|fall|love|nerd|scam","Comedy, Romance","$ 5285941","$ 14000000","English","Canada, USA",5.4,64,"2002-02-01","2002","Slackers (2002)"
"969","1st century|based on the bible|miracle|religion|resurrection","Biography, Drama, History","$ 4069090","$ 10000000","English","Canada, UK",7.7,25,"2003-11-14","2003","The Visual Bible: The Gospel of John (2003)"
"970","anal sex|death|dream|poem|sex","Comedy, Musical, Romance","$ 557471","","English","USA",6.3,90,"2006-05-05","2006","Romance & Cigarettes (2006)"
"971","brighton|catholic|gang|prayer|waitress","Crime, Drama, Thriller","$ 229653","$ 12000000","English","UK, France",5.7,137,"2011-02-04","2011","Brighton Rock (2011)"
"972","camp|fishing|fishing trip|river|town","Crime, Drama, Mystery","$ 400438","AUD 15000000","English, Irish, Aboriginal","Australia",6.3,75,"2006-07-20","2006","Jindabyne (2006)"
"973","alien infection|astronaut|mars|mission|zombie","Adventure, Horror, Sci-Fi","$ 24084","GBP 7000000","English","UK, Ireland",5.5,132,"2013-09-19","2013","The Last Days on Mars (2013)"
"974","9 year old|blood|gramophone|house|missing children","Horror","$ 22163442","$ 10600000","English","USA, Spain",5.5,111,"2003-01-10","2003","Darkness (2003)"
"975","butterfly|entomologist|morpho butterfly|rain|rain forest","Drama, Adventure","$ 1755355","CAD 12500000","English, Spanish, French","Canada, USA, UK",6.3,19,"2004-08-26","2004","The Blue Butterfly (2004)"
"976","bad luck|casino|lie|mix up|stutter","Comedy","$ 1183658","","Hindi, Gujarati","India",5.4,10,"2010-04-30","2010","Housefull (2010)"
"977","massacre|mormon|settler|utah|wagon train","Drama, History, Romance","$ 1066555","$ 11000000","","USA, Canada",5.8,40,"2007-08-24","2007","September Dawn (2007)"
"978","detective|fbi|rape|rapist|serial rapist","Horror, Mystery, Thriller","$ 63300095","$ 10000000","English","Canada, USA",5.9,206,"2008-04-30","2008","Saw IV (2008)"
"979","american|curse|japan|nurse|rage","Horror, Mystery, Thriller","$ 110359362","$ 10000000","English, Japanese","USA, Japan",5.9,218,"2005-01-05","2005","The Grudge (2005)"
"980","american|curse|japan|nurse|rage","Horror, Mystery","$ 21221803","$ 10000000","English","USA, Canada",4.2,178,"2020-03-05","2020","The Grudge (2020)"
"981","animate doll|doll|england|nanny|surprise ending","Horror, Mystery, Thriller","$ 35819556","$ 10000000","English","USA, Canada, China",6,210,"2016-05-12","2016","The Boy (2016)"
"982","devil|elevator|hit and run|throat slitting|trapped in an elevator","Horror, Mystery, Thriller","$ 33601190","$ 10000000","English, Ukrainian, Spanish","USA",6.2,278,"2010-11-12","2010","Devil (2010)"
"983","apartment|christmas|christmas present|rent|security guard","Comedy, Drama","$ 33253609","$ 10000000","English","USA",5.8,27,"2002-11-22","2002","Friday After Next (2002)"
"984","abortion|abortion clinic|angel|church|clinic","Adventure, Comedy, Drama","$ 30652890","$ 10000000","English","USA",7.3,192,"2003-06-27","2003","Dogma (2003)"
"985","deputy|farmhouse|nightmare|private investigator|rural","Horror, Mystery, Thriller","$ 27740955","$ 10000000","English","USA, UK, Canada",5.3,213,"2015-09-03","2015","Sinister 2 (2015)"
"986","1970s|boy|competition|roller skates|tubesocks","Comedy, Drama, Music","$ 17380866","","English","USA",6.1,49,"2006-03-17","2006","Roll Bounce (2006)"
"987","coming of age|friendship|private school|student|teacher","Comedy, Drama, Romance","$ 17105219","$ 9000000","English, Spanish, Latin, French","USA",7.7,190,"1999-02-19","1999","Rushmore (1999)"
"988","apartment|blue light|drawing|group of friends|light","Action, Sci-Fi, Thriller","$ 21393620","$ 10000000","English","USA",4.4,228,"2011-01-14","2011","Skyline (2011)"
"989","boarding house|girl|great depression|house|ohio","Comedy, Drama, Family","$ 17657973","$ 10000000","English","USA, Canada",6.5,73,"2008-07-02","2008","Kit Kittredge: An American Girl (2008)"
"990","e mail|moving|perfect man|secret admirer|suitor","Comedy, Family, Romance","$ 16535005","$ 10000000","English","USA",5.5,62,"2005-06-17","2005","The Perfect Man (2005)"
"991","comeback|friend|jazz|stage|trumpet","Drama, Music, Romance","$ 16153593","$ 10000000","English","USA",6.6,31,"1990-11-16","1990","Mo' Better Blues (1990)"
"992","desert|giant worm|monster|pipe bomb|small town","Comedy, Horror","$ 16667084","$ 11000000","English","USA",7.1,166,"1990-01-19","1990","Tremors (1990)"
"993","14 year old|boat|bounty hunter|boy|river","Drama","$ 21590086","$ 10000000","English","USA",7.4,391,"2014-08-28","2014","Mud (2014)"
"994","beach|police|sex scene|spring break|vomiting","Comedy, Crime","$ 20342161","$ 10000000","English","USA",5.9,88,"2007-02-23","2007","Reno 911!: Miami (2007)"
"995","bar|hitman|luck|mexico|mexico city","Comedy, Crime, Thriller","$ 12594698","$ 12500000","English, Spanish","Ireland, Mexico, Germany, USA",6.7,191,"2007-11-16","2007","The Matador (2007)"
"996","african american|cult film|ex boyfriend|middle class|sex","Drama, Romance","$ 12479335","$ 10000000","English","USA",7.5,18,"1997-03-14","1997","Love Jones (1997)"
"997","basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream","Comedy, Romance","$ 11576464","$ 22000000","English","USA",5.7,61,"2002-07-26","2002","Get Over It (2002)"
"998","1950s|abusive husband|artist|painting|secret","Biography, Crime, Drama","$ 14482031","$ 10000000","English, French, Italian","USA, Canada",7,344,"2015-01-01","2015","Big Eyes (2015)"
"999","best friend|party|rival|scavenger hunt|sleepover","Comedy, Family, Romance","$ 9436390","$ 10000000","English","USA",5.4,54,"2004-07-09","2004","Sleepover (2004)"
"1000","colonel|lieutenant|nuclear warhead|team|washington d.c.","Action, Comedy","$ 8525600","$ 10000000","English, Russian","USA",5.5,146,"2010-05-21","2010","MacGruber (2010)"
"1001","curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist","Drama","$ 6719864","$ 20000000","English","USA",8.5,174,"1999-08-27","1999","American History X (1999)"
"1002","booby trap|brainwashing|mercenary|serial killer|trap","Action, Adventure, Crime","$ 6842058","$ 7500000","English","USA",6.1,150,"2012-11-30","2012","The Collection (2012)"
"1003","dog|florida|mad scientist|school|teacher","Animation, Adventure, Comedy","$ 6491969","$ 10000000","English","USA",5.8,33,"2004-01-16","2004","Teacher's Pet (2004)"
"1004","directed by star|indian american|spelling|spelling bee|two word title","Comedy, Drama","$ 7779614","$ 10000000","English","USA",6.6,125,"2014-03-28","2014","Bad Words (2014)"
"1005","color in title","Drama","$ 21571189","$ 9000000","English","USA",6.6,95,"2015-03-05","2015","Black or White (2015)"
"1006","based on short film|chicago illinois|el train|love|train","Comedy, Family, Romance","$ 4365455","$ 16000000","English","USA",4.2,45,"2002-07-05","2002","On the Line (2002)"
"1007","box office flop|critically bashed|government|industrialist|railroad","Drama, Mystery, Sci-Fi","$ 3336053","$ 10000000","English","USA",5.3,24,"2012-10-12","2012","Atlas Shrugged II: The Strike (2012)"
"1008","race relations|racism|racist|social problem|stereotype","Drama","$ 2664812","$ 9000000","English, Swedish","Canada",6.4,108,"1996-11-15","1996","Crash (1996)"
"1009","diner|eating a banana|masturbation|porn star|shooting a pornographic movie","Comedy","$ 2529395","$ 10000000","English","USA",3.2,49,"2011-09-09","2011","Bucky Larson: Born to Be a Star (2011)"
"1010","actor|minstrel show|protest|success|writer","Comedy, Drama, Music","$ 2274979","$ 10000000","English","USA",6.5,69,"2002-10-11","2002","Bamboozled (2002)"
"1011","halfway house|key|reality|schizophrenia|spider","Drama, Mystery, Thriller","$ 1642483","$ 10000000","English","Canada, UK, France",6.8,119,"2002-11-29","2002","Spider (2002)"
"1012","boy|boys' school|death|friend|orphan","Adventure, Drama, Romance","$ 1587173","$ 10000000","English","UK, USA",7.1,85,"2003-06-27","2003","Nicholas Nickleby (2003)"
"1013","based on true story|contract killer|crime family|murder of a girl|serial murderer","Biography, Crime, Drama","$ 1969193","$ 10000000","English","USA",6.8,227,"2015-02-05","2015","The Iceman (2015)"
"1014","breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore","Action, Sci-Fi","$ 1430721","$ 10200000","Hindi, English, Cantonese, Tamil","India",6.4,22,"2006-06-23","2006","Krrish (2006)"
